week,manager,team_name,points,points_against,projected_points
12,Adam,Zeke Virus,110.84,124.50,147.07
12,Travis,Big Bucs No Whammies,124.50,110.84,139.13
12,Christopher,3HeadedATK,99.00,154.60,96.65
12,Jean,DJeango,154.60,99.00,142.36
12,Jake,Birds Like I'm Julio,165.38,125.48,131.94
12,sox fan,Quaranteam,125.48,165.38,155.11
12,Andy,Eli Man Penguin Boy,175.64,150.92,147.01
12,Khari,Khari's Blasingame,150.92,175.64,153.39
12,roy s,Obi 'Quon Kenobi,105.00,108.76,143.20
12,JL,FreshPrinceOfHelaire,108.76,105.00,135.35
