week,manager,team_name,points,points_against,projected_points
10,Adam,Zeke Virus,110.18,95.68,134.60
10,Jake,Birds Like I'm Julio,95.68,110.18,120.11
10,Christopher,3HeadedATK,122.64,163.90,136.02
10,Travis,Big Bucs No Whammies,163.90,122.64,145.11
10,Jean,DJeango,132.84,158.46,120.76
10,sox fan,Quaranteam,158.46,132.84,154.74
10,Andy,Eli Man Penguin Boy,125.90,118.36,140.51
10,JL,FreshPrinceOfHelaire,118.36,125.90,127.23
10,roy s,Obi 'Quon Kenobi,91.32,100.62,139.99
10,Khari,Khari's Blasingame,100.62,91.32,144.01
