week,manager,team_name,points,points_against,projected_points
7,Adam,Zeke Virus,159.08,153.36,140.89
7,Khari,Khari's Blasingame,153.36,159.08,140.69
7,Christopher,3HeadedATK,207.80,121.32,141.41
7,Andy,Eli Man Penguin Boy,121.32,207.80,131.93
7,Travis,Big Bucs No Whammies,136.80,149.12,134.37
7,roy s,Obi 'Quon Kenobi,149.12,136.80,147.03
7,Jake,Birds Like I'm Julio,123.50,178.38,127.29
7,sox fan,Quaranteam,178.38,123.50,159.51
7,Jean,DJeango,137.00,114.70,141.51
7,JL,FreshPrinceOfHelaire,114.70,137.00,133.14
