week,manager,team_name,points,points_against,projected_points
8,Adam,Zeke Virus,139.12,187.44,143.43
8,roy s,Obi 'Quon Kenobi,187.44,139.12,138.93
8,Christopher,3HeadedATK,114.96,127.14,147.06
8,Jake,Birds Like I'm Julio,127.14,114.96,130.25
8,Travis,Big Bucs No Whammies,137.46,110.74,140.19
8,Jean,DJeango,110.74,137.46,125.43
8,Andy,Eli Man Penguin Boy,103.14,107.22,136.16
8,JL,FreshPrinceOfHelaire,107.22,103.14,125.60
8,Khari,Khari's Blasingame,134.98,135.86,146.43
8,sox fan,Quaranteam,135.86,134.98,155.31
