week,manager,team_name,points,points_against,projected_points
11,Adam,Zeke Virus,151.94,176.26,140.10
11,Jean,DJeango,176.26,151.94,141.31
11,Christopher,3HeadedATK,109.54,155.06,130.29
11,Khari,Khari's Blasingame,155.06,109.54,148.09
11,Travis,Big Bucs No Whammies,144.36,136.74,141.93
11,JL,FreshPrinceOfHelaire,136.74,144.36,145.50
11,Jake,Birds Like I'm Julio,125.52,128.28,120.41
11,roy s,Obi 'Quon Kenobi,128.28,125.52,147.03
11,Andy,Eli Man Penguin Boy,149.34,148.18,140.32
11,sox fan,Quaranteam,148.18,149.34,147.13
