week,manager,team_name,points,points_against,projected_points
6,Adam,Zeke Virus,100.02,168.96,143.11
6,JL,FreshPrinceOfHelaire,168.96,100.02,144.20
6,Christopher,3HeadedATK,125.44,158.70,131.40
6,Jake,Birds Like I'm Julio,158.70,125.44,142.10
6,Travis,Big Bucs No Whammies,120.52,117.80,141.88
6,Andy,Eli Man Penguin Boy,117.80,120.52,134.90
6,Jean,DJeango,113.72,102.44,153.00
6,roy s,Obi 'Quon Kenobi,102.44,113.72,140.57
6,Khari,Khari's Blasingame,153.80,119.58,126.22
6,sox fan,Quaranteam,119.58,153.80,140.18
