week,manager,team_name,points,points_against,projected_points
4,Adam,Zeke Virus,140.30,154.42,146.85
4,sox fan,Quaranteam,154.42,140.30,158.39
4,Christopher,3HeadedATK,129.96,120.12,151.29
4,JL,FreshPrinceOfHelaire,120.12,129.96,154.18
4,Travis,Big Bucs No Whammies,133.22,144.70,132.97
4,Khari,Khari's Blasingame,144.70,133.22,143.98
4,Jake,Birds Like I'm Julio,159.24,179.10,146.13
4,roy s,Obi 'Quon Kenobi,179.10,159.24,155.18
4,Jean,DJeango,105.84,185.86,138.60
4,Andy,Eli Man Penguin Boy,185.86,105.84,152.52
