week,manager,team_name,points,points_against,projected_points
13,Adam,Zeke Virus,121.76,130.76,139.37
13,JL,FreshPrinceOfHelaire,130.76,121.76,133.84
13,Christopher,3HeadedATK,177.70,160.74,139.58
13,Andy,Eli Man Penguin Boy,160.74,177.70,148.22
13,Travis,Big Bucs No Whammies,111.72,149.90,139.91
13,sox fan,Quaranteam,149.90,111.72,143.51
13,Jake,Birds Like I'm Julio,136.82,113.34,130.54
13,Khari,Khari's Blasingame,113.34,136.82,147.44
13,Jean,DJeango,155.84,131.22,139.93
13,roy s,Obi 'Quon Kenobi,131.22,155.84,140.55
