week,manager,team_name,points,points_against,projected_points
1,Adam,Zeke Virus,33.90,0.00,142.73
1,roy s,Obi 'Quon Kenobi,0.00,33.90,148.00
1,Christopher,3HeadedATK,0.00,42.02,136.99
1,Khari,Khari's Blasingame,42.02,0.00,146.19
1,Travis,Big Bucs No Whammies,0.00,17.00,133.07
1,Jean,Jean's Team,17.00,0.00,160.02
1,Jake,Birds Like I'm Julio,23.44,15.60,155.22
1,Andy,Eli Man Penguin Boy,15.60,23.44,150.73
1,JL,FreshPrinceOfHelaire,19.80,0.00,155.46
1,sox fan,Quaranteam,0.00,19.80,150.98
