week,manager,team_name,points,points_against,projected_points
14,Adam,Zeke Virus,129.72,164.36,139.08
14,Khari,Khari's Blasingame,164.36,129.72,147.87
14,Christopher,3HeadedATK,149.50,150.72,125.24
14,sox fan,Quaranteam,150.72,149.50,151.67
14,Travis,Big Bucs No Whammies,140.16,137.34,150.22
14,roy s,Obi 'Quon Kenobi,137.34,140.16,142.43
14,Jake,Birds Like I'm Julio,114.12,144.28,128.72
14,Andy,Eli Man Penguin Boy,144.28,114.12,150.95
14,Jean,DJeango,143.44,126.08,133.25
14,JL,FreshPrinceOfHelaire,126.08,143.44,137.43
